delivery_id,innings_id,match_id,over_number,ball_number,phase,batter_id,non_striker_id,bowler_id,batter_name,bowler_name,bowler_type,batter_position,runs_scored,extras_runs,total_runs,is_wide,is_noball,is_bye,is_legbye,is_four,is_six,is_dot,is_wicket,wicket_type,fielder_name,batting_team,bowling_team,match_date,tournament_name,format,gender,age_group,season
1,1,1,0,1,play,10,9,40,Yash Nair,Rohit Kulkarni,right-arm pace,1,0,1,1,True,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
2,1,1,0,2,play,10,9,40,Yash Nair,Rohit Kulkarni,right-arm pace,1,2,0,2,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
3,1,1,0,3,play,10,9,40,Yash Nair,Rohit Kulkarni,right-arm pace,1,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
4,1,1,0,4,play,10,9,40,Yash Nair,Rohit Kulkarni,right-arm pace,1,6,0,6,False,False,False,False,False,True,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
5,1,1,0,5,play,10,9,40,Yash Nair,Rohit Kulkarni,right-arm pace,1,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
6,1,1,0,6,play,10,9,40,Yash Nair,Rohit Kulkarni,right-arm pace,1,2,0,2,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
7,1,1,0,7,play,10,9,40,Yash Nair,Rohit Kulkarni,right-arm pace,1,6,0,6,False,False,False,False,False,True,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
8,1,1,1,1,play,9,10,40,Ganesh Kulkarni,Rohit Kulkarni,right-arm pace,1,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
9,1,1,1,2,play,10,9,40,Yash Nair,Rohit Kulkarni,right-arm pace,1,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
10,1,1,1,3,play,9,10,40,Ganesh Kulkarni,Rohit Kulkarni,right-arm pace,1,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
11,1,1,1,4,play,10,9,40,Yash Nair,Rohit Kulkarni,right-arm pace,1,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
12,1,1,1,5,play,9,10,40,Ganesh Kulkarni,Rohit Kulkarni,right-arm pace,1,3,0,3,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
13,1,1,1,6,play,10,9,40,Yash Nair,Rohit Kulkarni,right-arm pace,1,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
14,1,1,2,1,play,10,9,34,Yash Nair,Amit Kolhe,left-arm pace,1,6,0,6,False,False,False,False,False,True,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
15,1,1,2,2,play,10,9,34,Yash Nair,Amit Kolhe,left-arm pace,1,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
16,1,1,2,3,play,9,10,34,Ganesh Kulkarni,Amit Kolhe,left-arm pace,1,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
17,1,1,2,4,play,9,10,34,Ganesh Kulkarni,Amit Kolhe,left-arm pace,1,2,0,2,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
